id,name,slug,priceZAR,category,size,scentNotes,tags,images,description,whatsappSku,stock,active
3000,Rosemary Bath Salt,rosemary-bath-salts-100g,0.0,Bath Salts,100g,"Herbaceous, woody, crisp","rosemary, natural, spa, relaxation, herbal",https://serene-bathworks.com/images/bath-salts-rosemary.jpg,"Immerse yourself in the soothing experience of our handcrafted rosemary bath salt. Scent notes: Herbaceous, woody, crisp. (100g)",3000,10,True
3001,Rosemary Bath Salt,rosemary-bath-salts-500g,0.0,Bath Salts,500g,"Herbaceous, woody, crisp","rosemary, natural, spa, relaxation, herbal",https://serene-bathworks.com/images/bath-salts-rosemary.jpg,"Immerse yourself in the soothing experience of our handcrafted rosemary bath salt. Scent notes: Herbaceous, woody, crisp. (500g)",3001,10,True
3002,Rose Bath Salt,rose-bath-salts-100g,0.0,Bath Salts,100g,"Floral, romantic, soft","rose, natural, spa, relaxation, floral",https://serene-bathworks.com/images/bath-salts-rose.jpg,"Immerse yourself in the soothing experience of our handcrafted rose bath salt. Scent notes: Floral, romantic, soft. (100g)",3002,10,True
3003,Rose Bath Salt,rose-bath-salts-500g,0.0,Bath Salts,500g,"Floral, romantic, soft","rose, natural, spa, relaxation, floral",https://serene-bathworks.com/images/bath-salts-rose.jpg,"Immerse yourself in the soothing experience of our handcrafted rose bath salt. Scent notes: Floral, romantic, soft. (500g)",3003,10,True
3004,Lavender Bath Salt,lavender-bath-salts-100g,0.0,Bath Salts,100g,"Calming, floral, clean","lavender, natural, spa, relaxation, floral",https://serene-bathworks.com/images/bath-salts-lavender.jpg,"Immerse yourself in the soothing experience of our handcrafted lavender bath salt. Scent notes: Calming, floral, clean. (100g)",3004,10,True
3005,Lavender Bath Salt,lavender-bath-salts-500g,0.0,Bath Salts,500g,"Calming, floral, clean","lavender, natural, spa, relaxation, floral",https://serene-bathworks.com/images/bath-salts-lavender.jpg,"Immerse yourself in the soothing experience of our handcrafted lavender bath salt. Scent notes: Calming, floral, clean. (500g)",3005,10,True
3006,Eucalyptus Bath Salt,eucalyptus-bath-salts-100g,0.0,Bath Salts,100g,"Fresh, minty, invigorating","eucalyptus, natural, spa, relaxation, refreshing",https://serene-bathworks.com/images/bath-salts-eucalyptus.jpg,"Immerse yourself in the soothing experience of our handcrafted eucalyptus bath salt. Scent notes: Fresh, minty, invigorating. (100g)",3006,10,True
3007,Eucalyptus Bath Salt,eucalyptus-bath-salts-500g,0.0,Bath Salts,500g,"Fresh, minty, invigorating","eucalyptus, natural, spa, relaxation, refreshing",https://serene-bathworks.com/images/bath-salts-eucalyptus.jpg,"Immerse yourself in the soothing experience of our handcrafted eucalyptus bath salt. Scent notes: Fresh, minty, invigorating. (500g)",3007,10,True
3008,Lemon Bath Salt,lemon-bath-salts-100g,0.0,Bath Salts,100g,"Citrusy, bright, zesty","lemon, natural, spa, relaxation, citrus",https://serene-bathworks.com/images/bath-salts-lemon.jpg,"Immerse yourself in the soothing experience of our handcrafted lemon bath salt. Scent notes: Citrusy, bright, zesty. (100g)",3008,10,True
3009,Lemon Bath Salt,lemon-bath-salts-500g,0.0,Bath Salts,500g,"Citrusy, bright, zesty","lemon, natural, spa, relaxation, citrus",https://serene-bathworks.com/images/bath-salts-lemon.jpg,"Immerse yourself in the soothing experience of our handcrafted lemon bath salt. Scent notes: Citrusy, bright, zesty. (500g)",3009,10,True
